# Bucket 3 — the influencer list. 10 wallets, equal shares.
# PLACEHOLDER AMOUNTS: 10M tokens each (sums to the 100M devnet-scale bucket).
# The real amounts are 50% of the launch-day distributor total split 10 ways,
# recomputed with this SAME address list before initialize. The LIST is final.
address,amount
5YRgrP3mjGzrzirYYN5HAQH19cTYREYwGxW6XRJQUzij,10000000000000
GV6UUmNxz2RpKxmNAPadYKb7uQpszwqQAu3qLJxVdC52,10000000000000
4Be9CvxqHW6BYiRAxW9Q3xu1ycTMWaL5z8NX4HR3ha7t,10000000000000
6i2aHtxfqkC2biTo98FSkP59FVHPKFRLZWDbdghN6WKK,10000000000000
7YndBV5gp3VvAiBbSfv8M7CoyMhFsiKeGYWkwee49fTg,10000000000000
CAPn1yH4oSywsxGU456jfgTrSSUidf9jgeAnHceNUJdw,10000000000000
Fv7ubG15npHzRTKqg8AkAwNNMLaaTgecGWt3yoTmfUWT,10000000000000
6HJetMbdHBuk3mLUainxAPpBpWzDgYbHGTS2TqDAUSX2,10000000000000
6DtEedWf9Wk5hA7Xth82Eq441yf5DA4aGLqaQAVfDokm,10000000000000
FuP8dYQytaThMh9Fg2XNd1Z1eNHxMHW92kVUfWf3TnmD,10000000000000
